id,OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,OF28,OF29,OF31,OF33,OF34,OF37,OF38,F1,F2,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F4,F5,F6,F7,F8,F9,F10,F11,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F62,F63,F64,F65,F66b,F67,F68,S1,S2,S4,S5,WS,WS_Benefit,SFST,SFST_Benefit,SR,SR_Benefit,PR,PR_Benefit,NR,NR_Benefit,Provincial_Class,Federal_Class,Regime,Vegetation_Type,Vegetation_Cover,Woody_Canopy_Cover,Moss_Cover,Phragmites,Soil_Type,Surface_Water_Present,Saturation_Depth,Living_Moss_Depth,Organic_Depth,Hydrogeomorphic_Class
137,1,5,7,2,1,1,5,4,3,6,7,5,5,3,2,0.04,0.0,4,4,2,1,2,2,5,1799,2,6,0,0.0,0.0,0.0,4,3,0,1,1,0,4,0,2,2,1,112,4,1,0,0,0,1,5,3,1,1,2,1,1,2,4,2,3,4,5,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,2,4,0.0,3,3,2,5,0,0,4,1,4,1,1,6,1,7,0.0,1,6.42,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,0,1,1,2,0,1,0,0,0.0,0.0,1.0,3,3,0.0,0,2.0,2.0,6.3,25.4,4.0
141,1,4,6,2,3,2,3,5,3,5,7,4,6,2,4,0.079,0.0,4,4,1,3,2,1,0,1666,2,6,0,0.0,0.0,0.0,0,3,0,2,0,1,5,0,1,1,0,96,3,1,0,0,0,1,5,3,0,2,4,1,1,3,4,3,3,3,5,2,2,2,1,1,0,3,5,1,1,0,0,3,1,0,1,1,5,0.0,3,3,3,5,0,0,4,6,4,1,0,6,1,7,0.0,0,6.42,105.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0,1,2,2,0,1,0,2,0,1,0,0,2.0,0.0,1.0,3,3,0.0,0,2.0,2.0,3.0,24.0,9.0
145,2,5,7,1,3,0,4,1,2,4,7,6,6,4,0,0.16,0.0,4,4,1,1,2,3,3,1632,2,6,0,0.0,0.0,0.0,2,3,0,1,1,0,5,0,1,2,1,72,3,2,3,1,2,1,5,2,1,2,2,3,1,3,3,4,2,2,2,2,3,3,1,0,0,0,0,0,0,0,0,0,1,0,1,2,4,0.0,1,2,2,5,0,0,4,1,4,2,2,6,1,7,0.0,2,6.42,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,0,1,1,2,1,1,0,1,1.0,0.0,2.0,0,1,0.0,2,0.0,2.0,0.0,46.0,10.0
147,4,5,7,4,3,0,4,1,1,4,4,6,6,4,4,0.01,0.0,4,4,1,1,3,3,4,1516,2,6,0,0.0,0.0,0.0,4,3,4,0,0,0,4,0,2,2,1,64,4,2,3,2,2,1,2,1,1,1,2,1,2,2,3,4,2,1,3,4,2,3,3,0,0,0,0,0,0,0,0,0,1,0,1,2,5,0.0,1,3,1,4,2,3,5,1,4,1,2,6,1,7,0.0,2,6.97,183.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,2,2,1,1,1,2,1,2,0,1,0.0,3.0,1.0,0,1,0.0,2,0.0,0.0,0.0,95.0,10.0
148,2,5,7,1,3,0,4,1,1,2,6,6,6,5,4,0.41,0.0,4,4,1,2,2,3,4,1348,1,6,0,0.0,0.0,0.0,4,3,4,0,0,0,4,0,2,2,1,64,4,2,4,1,2,1,2,2,1,1,2,1,1,1,4,3,2,1,3,3,3,3,1,0,0,0,0,0,0,0,0,0,1,0,1,2,4,0.0,2,2,1,4,1,3,5,1,4,2,2,2,1,7,0.0,0,7.89,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,2,0,1,1,2,0,2,0,0,1.0,3.0,0.0,0,0,0.0,0,0.0,2.0,0.0,31.3,10.0
153,2,6,6,1,3,0,3,3,3,5,7,5,6,4,4,0.42,0.0,4,4,2,1,3,1,4,1677,2,6,1,0.0,0.0,0.0,4,4,3,0,0,1,1,1,2,4,1,0,3,4,1,3,1,1,2,4,1,2,1,1,1,2,3,1,2,3,4,2,2,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0.0,2,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,0,6.43,80.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,2,2,0,1,1,2,0,1,1,5,0.0,1.0,0.0,0,2,0.0,2,0.0,2.0,7.7,55.8,2.0
154,4,5,7,1,3,0,5,5,3,5,3,4,6,1,4,0.72,0.0,4,4,3,1,3,3,4,1455,0,5,0,1.0,0.0,0.0,1,2,3,1,0,1,0,1,1,4,1,192,4,4,2,1,2,1,1,5,2,2,1,1,1,1,3,4,3,1,1,2,5,1,5,1,5,4,5,3,1,0,0,2,1,0,1,1,1,0.0,1,2,1,5,0,0,5,1,4,1,1,1,1,4,0.0,1,6.43,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,1,1,2,1,0,1,5,0.0,1.0,1.0,0,4,0.0,2,2.0,2.0,8.3,158.0,2.0
155,4,5,7,1,3,0,4,4,3,3,7,6,6,4,4,0.31,1.0,4,4,2,1,3,3,4,1609,2,6,0,0.0,0.0,0.0,4,4,3,1,0,1,1,1,1,5,1,232,0,4,1,2,2,1,2,2,2,2,1,1,1,2,3,3,4,1,3,2,2,3,5,1,4,4,5,2,1,0,1,2,1,0,1,1,3,0.0,1,2,1,5,0,0,5,1,4,2,2,6,1,7,0.0,1,6.28,160.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,1,2,1,2,1,2,2,3,2.0,1.0,0.0,0,0,0.0,2,2.0,2.0,0.0,158.0,2.0
156,2,4,7,4,3,0,4,3,3,5,7,5,6,5,2,0.09,1.0,4,4,1,1,3,3,4,1516,2,6,0,0.0,0.0,0.0,4,4,3,0,0,0,0,0,2,5,1,72,4,4,2,4,1,1,2,1,1,1,1,1,1,1,3,2,4,1,5,2,2,1,4,1,3,4,3,1,1,0,0,2,1,0,1,1,3,0.0,1,3,1,4,2,2,4,1,4,1,0,6,1,7,0.0,1,6.02,140.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2,2,0,2,1,2,1,2,2,3,2.0,1.0,1.0,0,1,0.0,2,5.0,2.0,0.0,100.0,2.0
160,1,5,7,2,3,0,4,2,2,3,7,4,6,5,4,0.57,1.0,4,4,2,2,2,3,5,1329,2,6,0,0.0,0.0,0.0,4,4,3,0,0,0,2,0,2,5,1,232,3,4,3,3,2,1,2,1,1,1,2,1,1,2,3,4,2,1,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.0,2,2,2,3,1,3,4,1,4,1,1,4,1,7,0.0,0,6.92,176.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0,2,2,2,0,2,1,2,1,2,2,3,1.0,1.0,1.0,0,1,0.0,2,0.0,0.0,0.0,48.7,2.0
163,5,5,7,1,0,0,4,5,3,5,3,2,6,5,4,0.54,0.0,4,4,2,1,3,1,4,1486,0,6,0,0.0,0.0,0.0,4,3,4,4,0,2,2,1,1,1,2,232,3,1,0,0,0,1,3,4,3,2,1,2,1,3,4,3,3,2,5,2,2,2,5,0,0,0,0,0,0,0,0,0,1,0,1,2,5,1.0,3,2,1,5,0,0,5,1,4,1,0,6,1,7,0.0,1,6.16,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,0,1,1,2,1,1,3,0,2.0,2.0,0.0,1,2,0.0,0,2.0,2.0,1.0,28.7,2.0
167,1,5,6,1,0,0,4,1,1,5,7,5,6,5,1,0.39,0.0,4,4,2,1,3,2,4,1538,2,6,0,0.0,0.0,0.0,4,3,0,2,3,0,2,0,0,0,3,94,4,1,0,0,0,1,3,3,3,1,1,2,1,2,5,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0.0,3,1,2,4,2,2,5,1,4,1,1,6,0,7,0.0,0,6.62,380.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,2,1,0,0,0,0,2,3,0,0.0,4.0,0.0,2,3,0.0,1,0.0,2.0,0.0,12.3,7.0
169,3,5,7,1,0,0,4,4,3,5,7,6,6,5,4,0.43,0.0,4,4,2,1,3,3,4,1342,0,6,0,0.0,0.0,0.0,4,3,0,5,2,1,1,1,1,0,2,63,3,1,0,0,0,1,2,2,3,2,4,2,1,2,3,4,2,3,5,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,1,2,5,0.0,2,3,2,5,0,0,5,1,4,1,1,6,1,7,0.0,0,7.35,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,0,1,1,2,0,1,3,1,1.0,2.0,1.0,1,0,0.0,2,0.0,2.0,0.3,40.0,2.0
16,1,5,7,1,3,0,5,5,3,2,6,5,6,5,4,0.6,0.0,4,4,1,1,3,3,4,1418,0,6,0,0.0,0.0,0.0,2,4,3,1,0,1,0,1,2,4,1,232,3,4,2,2,2,1,2,3,3,2,1,1,1,2,3,4,2,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0.0,2,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,6.17,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2,1,0,1,1,2,1,1,2,3,0.0,1.0,1.0,0,3,0.0,2,0.0,2.0,1.7,60.3,2.0
174,1,5,7,4,3,1,4,4,3,5,7,4,6,2,4,0.0787,0.0,4,4,1,2,3,3,6,1670,2,6,0,0.0,0.0,0.0,4,2,0,2,0,4,0,0,3,2,2,224,2,2,1,1,1,1,1,5,1,1,1,1,1,3,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,3,3,2,5,0,0,4,6,4,1,1,6,1,7,0.0,0,6.31,63.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,2,0,2,0,1,2,0.0,2.0,2.0,3,4,0.0,2,1.0,2.0,5.7,237.3,4.0
175,4,5,7,4,2,1,4,2,3,5,6,4,6,2,3,0.1969,0.0,4,4,2,2,3,2,4,1697,2,6,0,0.0,0.0,0.0,2,2,4,1,0,0,1,0,4,3,1,224,4,3,4,2,1,1,3,3,1,1,3,1,1,3,2,2,4,3,2,1,3,2,3,1,5,4,5,3,1,0,0,1,1,0,1,2,4,0.0,3,3,1,4,2,1,5,1,4,1,1,6,1,7,0.0,0,6.31,63.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,2,2,0,1,1,2,0,1,2,4,2.0,3.0,0.0,0,3,0.0,1,3.0,2.0,2.0,32.0,4.0
177,4,5,7,2,3,0,4,5,3,2,4,4,6,5,4,0.77,0.0,4,4,3,1,3,3,4,1512,0,6,0,0.0,0.0,0.0,4,2,0,0,0,0,0,1,1,5,0,192,4,5,2,1,2,1,1,5,1,1,1,1,1,1,3,3,3,2,1,2,2,2,5,1,6,3,4,1,1,0,0,0,0,0,5,0,0,1.0,3,3,1,4,1,2,5,2,4,3,2,1,1,7,0.0,0,6.31,63.0,0.0,0.0,0.666666667,0.0,0.0,0.0,2,1,0,0,2,0,2,0,2,0,1,2,0.0,1.0,1.0,0,2,0.0,2,0.0,2.0,2.7,140.60000000000002,4.0
178,1,5,7,1,3,0,4,5,3,5,7,5,6,1,4,0.58,0.0,4,4,4,1,3,3,4,1551,0,6,0,0.0,0.0,0.0,1,1,3,2,0,3,0,3,1,2,1,160,1,2,2,1,1,1,1,5,1,2,1,1,0,2,3,2,1,5,2,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,3.63,58.0,1.0,1.0,0.0,0.0,0.0,0.0,2,1,0,0,2,0,2,0,2,0,4,6,0.0,2.0,0.0,3,4,0.0,2,0.0,2.0,4.7,160.3,4.0
17,2,5,7,1,3,0,5,5,3,3,7,5,6,5,4,0.55,0.0,4,4,1,1,3,3,3,1407,0,6,0,0.0,0.0,0.0,2,4,3,1,0,1,1,1,2,4,2,232,4,4,2,1,1,1,2,2,2,2,3,1,2,2,4,4,3,1,2,2,2,2,4,0,0,0,0,0,0,0,0,0,1,0,2,1,3,0.0,1,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,6.35,63.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,1,0,1,1,2,2,1,2,4,2.0,1.0,0.0,0,0,0.0,0,2.0,2.0,0.0,28.7,0.0
189,1,6,7,1,3,0,4,5,3,5,7,5,6,1,4,0.58,0.0,4,4,3,1,3,3,4,1551,0,6,0,0.0,0.0,0.0,2,1,3,1,0,1,0,3,0,3,2,128,4,3,1,1,1,1,1,5,1,1,1,1,1,2,3,2,1,5,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1.0,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,3.53,51.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,2,0,2,0,4,6,0.0,1.0,0.0,0,4,0.0,2,0.0,2.0,7.7,222.0,4.0
18,3,6,7,1,3,0,5,5,3,5,3,5,6,5,4,0.01,0.0,4,4,2,1,3,2,4,1426,2,6,0,0.0,0.0,0.0,2,4,3,0,0,0,0,0,3,4,3,168,4,4,3,1,2,1,2,2,2,2,2,2,1,2,4,3,3,2,3,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.0,1,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,0,6.02,52.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,1,0,1,0,2,4,2.0,1.0,0.0,0,0,0.0,0,3.0,2.0,0.0,25.0,0.0
191,3,5,6,2,3,0,3,4,3,5,4,3,6,4,4,0.47,0.0,4,4,3,1,3,3,4,1692,0,6,0,1.0,0.0,0.0,4,1,3,1,0,1,0,2,1,4,2,128,1,3,3,1,1,1,2,5,3,2,1,1,1,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,3,3,1,5,0,0,5,1,4,2,1,6,1,7,0.0,0,4.65,52.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,2,0,2,0,4,7,0.0,1.0,0.0,0,4,0.0,2,0.0,2.0,5.0,46.7,5.0
192,1,6,7,1,3,0,4,4,3,5,7,6,6,4,4,0.45,0.0,4,4,4,1,3,3,4,1358,0,6,0,1.0,0.0,0.0,1,1,3,1,0,2,0,2,2,4,1,128,3,4,2,1,1,1,1,5,1,2,1,1,1,1,3,2,1,5,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1.0,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,4.85,64.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,2,0,2,0,4,7,0.0,1.0,0.0,0,4,0.0,2,0.0,2.0,6.7,108.6,5.0
208,3,4,1,4,3,2,5,1,2,4,4,6,1,2,2,0.001,0.0,4,4,2,2,2,2,6,1945,2,6,0,0.0,0.0,0.0,4,3,0,0,0,0,5,0,2,1,3,80,3,2,3,2,2,1,5,4,1,0,4,1,1,3,3,2,4,3,5,1,1,1,4,1,1,0,0,0,0,0,0,1,0,0,1,2,4,0.0,3,3,1,3,2,2,5,1,4,1,1,6,1,7,0.0,0,6.31,61.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,2,2,0,0,2,1,0,1,0,0,2.0,0.0,1.0,0,2,1.0,2,3.0,2.0,2.0,36.7,4.0
209,2,4,5,6,0,0,4,1,2,5,5,4,2,5,4,0.06,0.0,4,4,2,2,3,2,4,1950,2,6,1,0.0,0.0,0.0,4,3,0,2,1,1,4,1,2,0,1,224,1,3,3,1,1,2,4,2,1,1,2,1,1,2,2,0,2,5,5,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,2,1,1,3,1,3,4,1,4,3,2,5,1,7,0.0,0,6.31,61.0,1.0,1.0,0.5,0.0,0.0,0.0,0,1,1,2,0,0,1,1,0,1,0,0,0.0,2.0,1.0,3,0,0.0,1,0.0,2.0,0.0,0.0,4.0
210,3,5,5,6,3,0,4,3,2,4,4,4,2,5,4,0.096,0.0,4,4,1,1,3,3,6,2092,0,6,1,0.0,0.0,0.0,2,1,3,0,0,0,1,2,3,3,3,192,3,2,2,1,1,1,1,5,1,1,1,1,1,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1.0,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,0,6.31,61.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,2,0,2,1,0,1,0.0,2.0,1.0,0,4,0.0,2,1.0,2.0,11.7,55.3,4.0
212,3,4,5,4,0,0,5,1,1,4,4,4,1,5,4,0.08,0.0,4,4,1,1,3,2,4,2254,2,6,0,0.0,0.0,0.0,4,3,0,3,0,3,0,2,0,2,2,224,3,2,1,1,2,1,2,2,1,2,4,3,1,3,3,2,2,4,5,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0.0,2,1,2,5,0,0,4,1,4,1,0,6,1,7,0.0,0,6.31,61.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,2,2,0,0,2,1,0,2,0,1,0.0,2.0,1.0,1,0,0.0,2,0.0,2.0,0.0,59.7,4.0
