id,OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,OF28,OF30,OF31,OF33,OF34,OF37,OF38,F1,F2,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F4,F5,F6,F7,F8,F9,F10,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F62,F63,F64,F65,F66b,F67,F68,S1,S2,S4,S5,WS,WS_Benefit,SFST,SFST_Benefit,SR,SR_Benefit,PR,PR_Benefit,NR,NR_Benefit
69,4,4,7,1,3,0,4,3,2,1,4,2,3,5,4,0.286,0.0,4,4,2,1,2,1,3,1881,2,1,0,0.0,0.0,0.0,4,3,4,1,1,0,4,1,2,3,1,192,4,3,2,3,1,1,4,1,2,2,3,1,1,1,3,3,4,1,3,2,2,3,5,1,4,3,4,3,1,1,0,3,1,2,1,4,0.0,1,2,1,4,1,2,5,1,4,2,2,6,1,7,0.0,2,7.09,360.0,1.0,1.0,0.333333333,0.0,0.0,0.5925925928888889,4.775,3.572,4.238,3.331,5.265,4.291,5.116,7.236,6.191,6.667
267,1,4,5,7,3,2,3,1,2,5,7,6,6,3,2,0.38,0.0,4,4,2,3,1,1,4,1904,2,0,0,0.0,0.0,0.0,4,4,3,0,0,0,1,0,0,5,0,0,4,5,1,4,1,1,2,1,3,2,2,1,3,3,3,2,4,2,5,2,2,2,4,1,3,2,4,1,1,0,0,3,1,1,1,3,0.0,2,3,2,4,2,3,3,6,4,1,1,6,1,7,0.0,2,6.81,300.6,0.6666666666666667,1.0,0.333333333,0.0,0.0,0.5185185187777778,2.632,6.26,5.795,5.221,4.775,5.085,5.193,8.002,5.374,6.944
274,2,5,6,2,3,2,4,5,3,5,6,4,6,4,4,0.3122,0.0,4,4,2,2,2,2,4,1846,0,0,0,0.0,0.0,0.0,4,4,2,0,0,0,0,0,4,4,1,64,4,4,1,3,1,1,3,4,1,1,1,1,4,3,3,3,4,2,3,3,3,2,4,1,4,4,4,3,1,0,1,3,1,1,1,2,0.0,1,3,2,5,0,0,3,6,4,1,0,6,1,3,0.0,2,6.53,241.2,0.3333333333333333,1.0,0.333333333,0.0,0.0,0.4444444446666666,3.243,3.905,5.854,3.945,5.574,4.455,5.51,6.962,5.946,5.417
407,3,5,7,1,3,0,4,1,3,1,4,6,1,5,4,0.01,0.0,4,4,1,1,3,3,4,2224,2,0,0,0.0,0.0,0.0,4,4,0,0,0,0,0,0,1,6,0,0,4,5,2,1,2,1,2,1,1,1,1,1,1,1,3,4,2,2,2,2,2,2,2,0,3,3,4,2,0,0,0,0,0,1,1,0,0.0,3,3,1,3,2,2,4,1,4,3,1,4,1,7,0.0,0,6.25,181.8,0.0,0.6666666666666667,0.0,0.0,0.0,0.3703703705555555,3.118,1.02,5.77,5.974,5.21,1.107,5.688,2.017,5.744,3.75
423,3,5,7,1,3,0,4,4,3,5,4,6,5,5,4,0.47,0.0,4,4,3,1,3,2,4,1890,0,0,0,0.0,0.0,0.0,2,2,0,1,0,1,0,1,4,3,1,170,4,3,1,1,1,1,1,5,2,2,1,1,1,1,4,4,2,2,3,2,4,3,5,1,4,2,4,2,1,0,1,2,0,1,1,5,0.0,1,3,1,5,0,0,5,1,4,1,0,6,1,7,0.0,1,4.17,122.4,0.0,0.3333333333333333,0.0,0.0,0.0,0.2962962964444444,3.796,1.175,5.733,3.291,6.223,0.411,5.69,0.719,5.934,1.032
177,4,5,7,2,3,0,4,5,3,2,4,4,6,5,4,0.77,0.0,4,4,3,1,3,3,4,1512,0,0,0,0.0,0.0,0.0,4,2,0,0,0,0,0,1,1,5,0,192,4,5,2,1,2,1,1,5,1,1,1,1,1,1,3,3,3,2,1,2,2,2,5,1,6,3,4,1,1,0,0,0,0,5,0,0,1.0,3,3,1,4,1,2,5,2,4,3,2,1,1,7,0.0,0,6.31,63.0,0.0,0.0,0.666666667,0.0,0.0,0.2222222223333333,6.827,3.54,0.0,0.0,10.0,0.408,10.0,0.819,10.0,3.056
451,4,5,7,2,2,1,4,4,3,5,6,4,5,2,2,0.279,0.0,4,4,1,1,3,2,2,2073,0,0,0,0.0,0.0,0.0,4,4,3,0,0,0,2,0,0,5,0,64,4,4,1,3,1,1,2,1,2,1,1,1,1,3,2,2,4,2,4,2,3,3,4,1,4,2,4,3,1,0,1,3,1,1,1,3,0.0,1,3,2,4,2,2,5,6,4,1,0,6,1,7,0.0,2,5.744999999999999,78.4,0.0,1.0,0.666666667,0.0,0.0,0.1481481482222222,2.201,2.058,5.865,5.07,4.246,4.224,5.364,6.646,5.421,5.0
84,4,5,7,1,3,0,4,5,3,1,3,5,5,5,4,0.48,0.0,4,4,2,1,3,3,2,1854,2,0,0,0.0,0.0,0.0,2,4,3,0,1,0,1,0,2,5,1,80,4,4,2,2,1,1,1,2,2,1,2,2,1,2,4,4,2,2,2,2,2,1,2,1,5,3,4,3,1,0,0,2,1,1,1,2,0.0,1,3,1,5,0,0,5,1,4,3,1,5,1,7,0.0,1,5.18,93.8,0.0,1.0,0.0,0.0,0.0,0.0740740741111111,3.267,1.2,5.622,3.714,5.128,3.898,5.963,5.989,5.87,4.167
452,4,5,6,4,2,2,3,4,3,4,6,0,6,2,2,0.016,0.0,4,4,1,3,2,2,2,2062,2,0,0,0.5,0.0,0.0,4,4,0,0,0,0,2,0,2,5,1,64,3,4,3,4,1,1,3,1,2,1,5,1,1,3,3,2,4,1,4,1,2,2,3,1,3,3,4,1,0,0,0,2,1,1,2,3,0.0,1,3,2,5,0,0,5,1,4,3,1,6,1,7,0.0,2,5.46,109.2,0.0,1.0,0.333333333,0.0,0.0,0.0,2.008,4.415,5.71,6.506,3.465,4.992,5.794,7.903,4.856,6.25
456,4,5,6,4,3,0,3,2,2,5,1,2,2,4,1,0.03,0.0,4,4,2,1,3,2,4,2082,2,0,3,1.0,0.0,0.0,4,4,3,0,0,0,0,0,1,1,2,0,2,3,1,2,1,2,1,1,2,1,1,1,1,1,2,2,4,4,2,2,2,2,5,1,4,3,3,2,1,0,0,1,1,1,2,0,0.0,1,3,1,5,0,0,5,1,4,1,2,5,1,7,0.0,2,5.739999999999999,124.6,1.0,1.0,0.666666667,0.0,0.0,0.0,2.365,10.0,5.635,6.031,4.599,4.113,4.719,6.364,5.165,6.667
156,2,4,7,4,3,0,4,3,3,5,7,5,6,5,2,0.09,1.0,4,4,1,1,3,3,4,1516,2,0,0,1.0,0.0,0.0,4,4,3,0,0,0,0,0,2,5,1,72,4,4,2,4,1,1,2,1,1,1,1,1,1,1,3,2,4,1,5,2,2,1,4,1,3,4,3,1,1,0,0,2,1,1,1,3,0.0,1,3,1,4,2,2,4,1,4,1,0,6,1,7,0.0,1,6.02,140.0,0.0,1.0,0.0,0.0,0.0,0.0,2.593,1.68,6.806,4.741,4.795,10.0,5.372,10.0,5.762,10.0
529,3,5,7,1,3,0,4,5,3,5,7,4,6,5,4,0.08,0.0,4,4,2,1,3,2,4,1523,0,0,0,1.0,0.0,0.0,2,2,0,1,0,0,0,0,3,4,1,40,4,4,1,2,1,1,2,3,2,2,1,2,1,1,3,3,4,2,3,2,2,2,5,1,4,3,3,2,1,0,1,2,0,1,1,5,0.0,1,2,1,5,0,0,5,1,4,1,0,5,1,4,0.0,1,5.89,98.0,0.0,0.0,0.0,0.0,0.0,0.0,3.004,0.2,6.177,3.93,5.322,0.756,5.469,1.878,5.963,1.667
86,3,5,5,4,3,0,4,4,3,1,7,4,5,0,4,0.16,0.0,4,4,1,1,3,3,3,1865,2,0,0,1.0,0.0,0.0,1,4,2,0,0,0,0,0,2,4,1,64,4,4,1,1,1,1,2,2,2,2,2,1,2,2,5,4,3,1,3,2,2,2,4,1,5,5,3,2,1,0,0,1,1,1,1,2,0.0,1,3,1,4,1,2,4,1,4,3,2,5,1,7,0.0,2,4.18,384.0,0.5,0.0,0.0,0.0,0.0,0.0,3.478,2.32,5.503,5.017,5.405,4.274,4.014,6.731,5.43,5.833
76,4,6,6,1,3,0,4,4,3,1,7,5,1,3,4,0.01,0.0,4,4,2,2,2,1,4,1933,0,0,0,0.0,0.0,0.0,2,4,3,0,0,0,1,0,1,6,2,64,4,5,2,4,1,1,2,1,2,2,3,2,3,2,4,2,4,1,3,2,2,3,5,1,4,4,3,2,1,1,1,2,1,1,1,3,0.0,1,3,1,4,1,2,5,2,4,3,2,6,1,7,0.0,2,7.22,670.0,1.0,0.0,0.0,0.0,0.0,0.0,2.782,4.52,6.993,4.352,5.129,4.614,4.895,7.314,5.387,6.111
286,5,5,6,6,3,2,4,1,1,3,4,1,3,2,1,0.005,0.0,4,4,2,2,3,2,3,2024,2,0,0,0.0,0.0,0.0,3,3,3,0,4,0,2,0,1,1,2,85,4,1,0,0,0,2,2,1,2,2,4,1,2,2,1,3,2,4,5,4,2,2,3,1,3,5,3,1,1,0,0,2,1,4,0,0,0.0,1,3,2,4,2,3,2,6,4,1,1,6,1,7,0.0,2,6.785,457.5,1.0,0.3333333333333333,0.333333333,0.0,0.0,0.0,7.294,10.0,0.763,0.0,10.0,4.616,10.0,7.199,10.0,10.0
404,2,5,7,1,3,0,4,5,3,5,7,6,4,5,4,0.4,0.0,4,4,2,1,3,1,4,1916,0,0,0,0.0,0.0,0.0,2,4,0,1,0,1,0,1,1,5,0,128,4,4,2,4,1,1,2,1,1,1,2,2,2,2,1,3,4,2,3,2,2,2,5,1,3,2,2,1,1,1,1,0,0,5,0,0,1.0,3,3,1,5,0,0,5,2,4,1,0,6,1,7,0.0,1,6.35,245.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,6.792,1.0,0.0,0.0,10.0,0.603,10.0,1.056,10.0,1.667
238,1,5,6,3,1,0,4,5,3,6,7,3,3,1,2,0.03,0.0,4,4,1,1,3,2,6,2026,2,0,0,0.0,0.0,0.0,2,2,4,1,0,2,0,2,0,5,1,128,4,4,3,1,1,1,2,4,1,1,3,2,2,3,3,3,2,5,1,1,1,1,1,0,0,5,2,1,0,0,0,0,0,1,2,3,0.0,2,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,0,5.824999999999999,204.2,0.5,1.0,0.333333333,0.0,0.0,0.0,2.542,0.7,5.907,6.447,3.676,0.938,7.393,1.642,4.541,2.5
405,1,5,6,7,2,1,3,4,2,5,5,6,3,3,3,0.1345,0.0,4,4,1,1,3,2,4,2009,0,0,0,0.0,0.0,0.0,4,4,3,1,1,1,2,0,2,3,2,76,4,4,2,2,2,1,2,1,2,2,2,2,3,2,2,3,3,2,2,2,3,3,5,1,5,3,2,3,1,0,1,0,1,2,1,2,0.0,1,3,1,5,0,0,5,1,4,1,1,1,1,7,0.0,1,5.3,163.4,0.0,0.875,0.0,0.0,0.0,0.0,4.653,1.586,3.414,3.032,5.06,4.222,5.58,6.555,5.779,6.667
352,2,4,5,7,2,0,3,4,3,5,2,2,3,1,2,0.07,0.0,4,4,3,0,2,1,4,2188,2,0,0,0.0,0.0,0.0,3,3,4,1,2,0,5,0,2,2,2,80,3,2,1,1,1,1,5,2,1,2,3,1,3,3,1,4,2,2,2,2,1,1,5,1,5,5,2,3,0,0,0,0,1,1,2,3,0.0,2,3,1,3,2,2,5,1,4,1,1,5,1,7,0.0,2,6.37,122.6,0.0,0.75,0.5,0.0,0.0,0.0,3.691,2.64,4.33,5.85,5.617,4.346,4.316,6.855,5.683,5.139
218,5,5,5,2,3,0,3,4,2,5,6,2,1,5,4,0.03,0.0,4,4,2,1,3,1,4,1893,2,0,1,0.0,0.0,0.0,4,4,0,0,0,0,2,1,2,4,1,64,1,4,1,3,1,3,2,1,1,1,1,1,1,1,2,2,4,3,4,2,2,2,4,1,4,2,2,2,1,0,0,2,1,1,1,2,0.0,1,1,2,5,0,0,5,1,4,2,2,5,1,7,0.0,1,6.220000000000001,81.80000000000001,0.0,0.625,0.5,0.0,0.0,0.0,1.975,0.075,4.733,5.352,4.14,4.113,5.423,7.197,5.517,6.667
127,4,5,7,1,3,0,4,5,3,4,3,4,6,4,4,0.51,0.0,4,4,2,1,3,3,3,1624,2,0,0,0.0,0.0,0.0,2,2,4,0,0,0,0,0,4,2,1,0,4,3,1,2,2,1,2,4,2,2,3,1,1,1,3,2,3,2,2,2,3,2,5,1,3,1,1,2,1,0,0,2,0,2,1,4,0.0,1,3,1,5,0,0,5,1,3,1,0,6,1,7,0.0,2,6.07,41.0,0.0,0.5,0.0,0.0,0.0,0.0,4.678,1.275,3.268,2.14,4.279,0.67,5.821,0.964,5.604,1.667
221,4,5,7,1,3,0,4,3,1,5,4,2,3,3,4,0.56,0.0,4,4,1,3,3,2,3,2254,0,0,0,0.0,0.0,0.0,0,4,3,0,0,0,0,1,2,5,2,0,3,4,1,3,1,1,2,1,2,1,1,1,1,1,2,1,4,2,4,2,3,2,4,1,4,4,1,3,1,0,1,1,1,1,1,3,0.0,1,3,1,4,2,2,5,1,4,3,0,6,1,7,0.0,2,5.495,58.75,1.0,0.375,0.333333333,0.0,0.0,0.0,1.593,4.12,5.993,4.864,3.911,4.524,5.104,7.16,5.307,10.0
241,4,5,4,6,0,0,2,4,3,4,6,3,3,2,2,0.25,0.0,4,4,2,3,3,3,6,2141,0,0,0,0.0,0.0,0.0,3,2,4,0,0,3,0,3,2,3,3,224,2,4,3,3,1,1,2,4,2,2,1,2,3,3,3,1,4,2,1,1,2,2,5,1,5,3,1,1,1,0,0,1,0,1,2,0,0.0,3,3,1,3,2,1,5,1,4,3,1,6,1,7,0.0,0,4.92,76.5,0.0,0.25,0.666666667,0.0,0.0,0.0,1.681,4.0,5.497,3.637,3.553,1.215,7.2,2.083,5.322,3.353
505,4,5,7,1,1,1,4,4,3,4,4,4,3,4,1,0.005,0.0,4,4,1,1,3,3,4,2109,2,0,0,0.25,0.0,0.0,4,3,4,0,1,0,4,0,2,3,1,80,3,3,1,2,1,1,5,2,2,2,4,1,2,3,2,3,4,2,5,2,2,3,1,0,0,0,0,0,0,0,0,0,1,1,2,5,0.0,1,3,2,5,0,0,4,6,4,1,0,6,1,7,0.0,2,4.345000000000001,94.25,0.0,0.125,0.0,0.0,0.0,0.0,2.501,10.0,5.815,5.143,3.63,4.283,4.815,6.662,5.45,5.0
42,2,5,7,1,3,0,5,5,3,4,6,4,6,5,4,0.8,0.0,4,4,3,1,3,0,3,1363,0,0,0,0.5,0.0,0.0,2,1,3,1,0,2,0,2,2,3,3,192,2,3,1,1,1,1,1,5,1,2,1,1,1,1,3,2,1,4,5,2,1,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,3,3,1,5,0,0,5,1,4,1,0,6,1,7,0.0,0,3.77,112.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,2.0,0.863,0.0,10.0,0.254,10.0,0.444,10.0,0.833
510,4,4,4,7,2,3,4,2,2,5,3,6,4,1,3,0.37,0.0,4,4,3,2,2,1,4,2122,2,0,0,0.75,0.0,0.0,3,3,4,2,1,1,5,0,2,2,1,88,3,3,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0,1,1,2,4,0.0,1,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,2,6.67,108.3076923076923,0.0,0.0625,0.5,0.0,0.0,0.0,2.709,5.3,6.583,4.636,5.056,4.268,5.581,6.636,4.726,6.667
239,5,6,6,6,3,0,4,4,3,5,3,3,3,5,4,0.26,0.0,4,4,2,1,3,3,6,2314,0,0,2,1.0,0.0,0.0,4,1,0,0,0,1,0,2,2,2,2,0,4,5,0,0,0,1,1,4,1,1,1,1,1,1,3,1,2,5,1,1,3,1,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,0,6.5183333333333335,104.6153846153846,0.0,0.125,0.333333333,0.0,0.0,0.0,5.451,0.65,0.0,0.0,10.0,0.67,10.0,1.172,10.0,1.667
463,3,4,5,4,0,0,3,3,3,4,3,4,3,5,4,0.2,0.0,4,4,2,1,3,3,6,2082,0,0,2,0.0,0.0,0.0,4,1,0,2,0,2,2,0,3,1,2,160,1,1,0,0,0,1,1,5,1,2,1,1,1,3,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1.0,3,3,1,4,1,3,5,1,4,1,1,6,1,7,0.0,0,6.366666666666666,100.92307692307692,0.0,0.1875,0.5,0.0,0.0,0.0,8.056,2.4,0.0,0.0,7.778,0.993,10.0,1.702,10.0,4.444
233,4,5,6,1,0,0,3,4,3,5,6,3,3,5,1,0.25,0.0,4,4,2,2,3,2,6,2141,0,0,2,0.0,0.0,0.0,4,3,4,2,0,4,1,3,2,1,3,232,1,2,2,2,2,1,2,4,3,2,1,1,1,3,4,2,2,4,5,1,1,1,5,1,2,0,0,0,0,0,0,1,0,2,2,5,0.0,3,3,1,2,2,2,2,1,4,1,1,6,1,1,0.0,1,6.215,97.23076923076924,0.0,0.25,0.0,0.0,0.0,0.0,4.556,10.0,3.49,3.389,3.925,1.181,7.049,2.143,5.947,3.611
254,1,6,7,1,3,0,4,4,3,5,7,0,3,5,4,0.38,1.0,4,4,1,2,3,3,6,2039,0,0,1,0.0,0.0,0.0,2,1,3,0,0,2,1,3,3,1,1,128,3,2,0,0,0,1,2,4,1,1,1,1,1,3,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1.0,3,3,1,5,0,0,5,1,4,1,1,6,1,0,0.0,0,6.0633333333333335,93.53846153846152,0.0,0.3125,0.0,0.0,0.0,0.0,7.5,2.825,0.0,0.0,5.833,10.0,10.0,10.0,10.0,10.0
153,2,6,6,1,3,0,3,3,3,5,7,5,6,4,4,0.42,0.0,4,4,2,1,3,1,4,1677,2,0,1,0.0,0.0,0.0,4,4,3,0,0,1,1,1,2,4,1,0,3,4,1,3,1,1,2,4,1,2,1,1,1,2,3,1,2,3,4,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,1,2,0.0,2,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,0,5.911666666666666,89.84615384615384,0.0,0.375,0.5,0.0,0.0,0.0,1.85,1.05,6.176,4.562,3.275,3.927,5.449,6.039,4.798,4.167
226,2,4,5,4,0,0,4,2,2,4,6,4,2,5,4,0.04,0.0,4,4,2,1,3,3,3,1950,0,0,1,0.0,0.0,0.0,4,3,0,4,0,2,0,1,0,3,0,168,1,2,1,1,2,1,1,4,1,2,2,1,1,3,3,2,1,5,5,1,1,2,4,0,0,0,0,0,0,0,0,0,0,1,1,5,0.0,3,1,1,4,2,2,5,1,4,1,0,5,1,7,0.0,0,5.76,86.15384615384616,0.0,0.4375,0.5,0.0,0.0,0.0,2.131,1.08,5.333,3.375,2.967,0.851,7.167,2.293,5.228,6.667
248,2,2,5,6,0,0,4,3,2,3,4,6,2,5,4,0.13,0.0,4,4,2,1,3,3,6,1903,0,0,1,1.0,1.0,0.0,3,1,3,0,0,1,0,3,4,1,3,160,1,1,0,0,0,1,2,3,1,1,1,1,1,1,3,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1.0,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,0,5.6083333333333325,82.46153846153845,0.0,0.5,0.0,0.0,0.0,0.0,6.806,0.325,0.0,0.0,6.667,0.732,10.0,1.281,10.0,6.667
210,3,5,5,6,3,0,4,3,2,4,4,4,2,5,4,0.096,0.0,4,4,1,1,3,3,6,2092,0,1,1,0.0,0.5,0.0,2,1,3,0,0,0,1,2,3,3,3,192,3,2,2,1,1,1,1,5,1,1,1,1,1,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1.0,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,0,5.456666666666666,78.76923076923077,0.0,0.5625,0.0,0.0,0.0,0.0,6.25,0.24,0.0,0.0,5.0,0.907,10.0,1.587,10.0,6.667
229,4,5,7,1,0,0,5,3,2,4,3,3,3,5,4,0.14,0.0,4,4,2,1,3,1,6,2236,0,0,1,0.0,0.0,0.0,4,3,0,3,2,2,2,2,2,2,2,186,2,2,2,1,1,1,1,3,3,2,1,1,1,2,3,2,2,4,4,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,2,1,0.0,2,1,1,5,0,0,5,1,4,1,0,5,1,7,0.0,0,5.305,75.07692307692307,0.0,0.625,0.0,0.0,0.0,0.0,1.914,0.35,5.278,4.135,2.878,0.727,7.241,2.106,4.904,6.667
249,4,5,6,6,3,0,5,1,1,4,5,5,2,5,4,0.22,0.0,4,4,1,1,3,3,6,2192,0,1,1,0.0,0.0,0.0,4,1,3,0,0,0,0,2,3,3,3,192,3,2,2,1,1,1,1,5,1,1,1,1,1,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1.0,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,0,5.153333333333332,71.38461538461539,0.0,0.6875,0.0,0.0,0.0,0.0,6.25,0.55,0.0,0.0,5.0,0.848,10.0,1.483,10.0,10.0
230,5,5,7,1,0,0,5,4,3,3,3,2,3,5,2,0.54,0.0,4,4,1,1,3,3,3,2272,0,0,1,0.5,0.0,0.0,2,3,0,3,2,2,2,2,1,2,2,232,1,2,2,1,2,1,2,4,3,1,1,2,1,3,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1.0,2,1,1,4,2,3,5,1,4,1,1,6,1,7,0.0,0,5.001666666666666,67.6923076923077,0.0,0.75,0.333333333,0.0,0.0,0.0,6.25,2.58,2.708,2.177,5.833,0.99,5.333,2.412,6.453,4.167
192,1,6,7,1,3,0,4,4,3,5,7,6,6,4,4,0.45,0.0,4,4,4,1,3,3,4,1358,0,0,0,1.0,0.0,0.0,1,1,3,1,0,2,0,2,2,4,1,128,3,4,2,1,1,1,1,5,1,2,1,1,1,1,3,2,1,5,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,5,0,0,1.0,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,4.85,64.0,0.0,0.8125,0.0,0.0,0.0,0.0,6.323,2.25,0.0,0.0,10.0,0.611,10.0,0.917,10.0,1.238
219,1,5,6,7,3,0,3,4,2,5,7,5,4,5,4,0.24,0.0,4,4,2,1,3,3,4,1955,2,0,0,0.0,0.0,0.0,1,3,0,2,0,2,2,1,3,2,1,224,1,2,1,1,1,1,2,4,2,2,1,1,1,2,3,2,3,4,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0.0,1,1,1,5,0,0,5,1,4,3,0,6,1,7,0.0,2,5.21,63.25,0.0,0.875,0.0,0.0,0.0,0.0,2.007,0.6,5.111,4.166,3.482,0.679,5.407,2.022,5.574,6.667
411,3,3,1,7,2,3,4,4,3,5,5,6,5,1,2,0.82,0.0,4,4,4,1,3,1,6,2183,2,0,0,0.0,0.0,0.0,2,1,3,1,0,2,0,3,2,2,1,160,2,1,0,0,0,1,1,5,1,1,1,1,1,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0,3,3,1,5,0,0,1,1,4,1,1,6,1,7,0.0,1,5.57,62.5,0.0,0.9375,0.0,0.0,0.0,0.0,7.917,5.35,0.0,0.0,8.889,0.2,10.0,0.3,10.0,1.238
473,1,5,7,2,2,1,4,4,3,5,7,5,5,1,3,0.308,0.0,4,4,2,1,3,1,4,2079,2,0,0,0.0,0.0,0.0,4,2,0,2,0,4,0,2,3,1,2,224,3,1,0,0,0,1,1,4,3,2,1,1,1,3,3,2,3,4,5,1,2,3,4,0,0,0,0,0,0,0,0,0,1,1,1,4,0.0,3,3,2,5,0,0,5,6,4,1,0,6,1,7,0.0,0,5.94,61.75,0.0,1.0,0.666666667,0.0,0.0,0.0,2.426,2.02,6.398,5.155,2.957,3.98,5.626,6.132,4.208,4.167
22,4,5,7,1,3,0,5,5,3,4,4,3,6,5,4,0.71,0.0,4,4,1,1,3,1,4,1523,0,0,0,0.0,0.0,0.0,2,4,3,1,1,1,2,0,2,4,1,64,3,4,2,1,2,1,2,2,3,2,2,1,1,1,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,2,1,3,0.0,2,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,6.31,61.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,5.118,1.775,3.166,1.894,4.329,3.948,5.298,6.075,5.971,5.0
497,4,5,7,1,3,2,4,2,2,5,3,4,5,2,2,0.5,0.0,4,4,2,2,3,2,2,2221,0,0,0,0.0,0.0,0.0,4,2,3,2,2,0,4,0,2,1,1,112,3,2,1,2,1,1,5,4,1,1,2,1,2,3,4,3,4,2,5,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,2,5,0.0,3,3,2,4,2,2,5,6,4,1,0,6,1,7,0.0,0,5.359999999999999,68.25,0.0,0.6666666666666667,0.5,0.0,0.0,0.0,2.647,4.0,6.046,4.438,2.834,0.868,5.037,1.607,4.989,6.667
424,1,5,7,1,3,0,4,1,2,5,7,6,4,2,4,0.83,0.0,4,4,3,1,3,3,4,2043,0,0,0,0.0,0.0,0.0,4,2,0,2,1,2,2,2,3,2,3,224,1,2,2,1,2,1,3,5,1,2,1,1,1,2,4,3,3,2,4,2,2,2,3,0,0,0,0,0,0,0,0,0,0,2,2,5,1.0,3,3,1,5,0,0,5,1,4,1,0,6,1,7,0.0,1,4.41,75.5,0.0,0.5,0.0,0.0,0.0,0.0,5.112,2.075,3.785,0.946,4.444,0.24,5.119,0.419,5.801,6.667
72,3,5,7,1,3,0,4,5,3,4,3,5,5,5,4,0.42,0.0,4,4,3,1,3,3,4,1854,2,0,0,0.0,0.0,0.0,2,3,0,1,1,2,2,2,2,2,3,192,3,2,2,1,2,1,3,4,3,2,1,2,1,3,3,3,2,4,5,2,2,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,3,3,1,5,0,0,5,1,4,1,0,6,1,7,0.0,0,4.52,82.75,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,6.827,1.05,0.759,0.0,10.0,0.435,10.0,0.761,10.0,1.548
446,1,4,5,6,3,0,3,1,2,5,7,6,3,5,4,0.3,0.0,0,2,3,2,3,3,4,2283,0,0,0,0.0,0.0,0.0,4,1,0,1,0,1,0,2,3,3,3,128,3,2,4,2,1,1,1,5,1,2,1,1,1,1,3,2,1,5,1,1,0,1,1,0,0,5,0,0,0,0,0,0,0,5,0,0,1.0,3,3,1,4,2,1,4,1,4,1,1,5,1,7,0.0,0,4.43,90.0,0.0,0.1666666666666667,0.0,0.0,0.0,0.0,5.872,3.1,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
90,1,4,7,1,0,0,3,5,3,1,7,5,6,4,4,0.52,0.0,0,0,3,1,3,3,4,1339,2,0,0,0.0,0.0,0.0,2,3,4,5,2,1,1,0,0,0,3,127,4,1,0,0,0,1,2,3,3,2,3,2,1,3,4,3,1,3,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,2,2,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,6.49,134.0,0.0,0.0,0.0,0.0,0.0,0.0,6.281,1.3,0.861,0.0,10.0,10.0,10.0,10.0,10.0,10.0
